name,ρ_β,ω_α,ω_β,ψ_α,ψ_β
Manor Solomon,[ 6.25 18.25 52.5 ],4.0,77.0,2.0,79.0
Micky van de Ven,[27.25  0.25 11.5 ],3.0,40.0,0.0,43.0
Dane Scarlett,[  0.25   6.25 125.5 ],0.0,136.0,0.0,136.0
Alejo VÃ©liz,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Ashley Phillips,[ 0.25  0.25 35.5 ],0.0,40.0,0.0,40.0
Jamie Donley,[ 0.25  3.25 29.5 ],0.0,37.0,0.0,37.0
Alfie Dorrington,[ 0.25  0.25 27.5 ],0.0,32.0,0.0,32.0
Yago de Santiago Alonso,[ 0.25  0.25 26.5 ],0.0,31.0,0.0,31.0
Timo Werner,[53.25 16.25 63.5 ],12.0,125.0,18.0,119.0
Radu Dragusin,[4.25 5.25 9.5 ],0.0,23.0,0.0,23.0
Mikey Moore,[0.25 2.25 4.5 ],0.0,11.0,0.0,11.0
Tyrese Hall,[0.25 0.25 3.5 ],0.0,8.0,0.0,8.0
Kalvin Phillips,[48.25 25.25 78.5 ],1.0,155.0,3.0,153.0
Nayef Aguerd,[38.25  1.25 37.5 ],3.0,78.0,0.0,81.0
Michail Antonio,[170.25  58.25  76.5 ],59.0,250.0,42.0,267.0
Alphonse Areola,[70.25  3.25 79.5 ],0.0,157.0,0.0,157.0
SaÃ¯d Benrahma,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Jarrod Bowen,[131.25  35.25  37.5 ],43.0,165.0,42.0,166.0
Maxwel Cornet,[21.25 26.25 63.5 ],10.0,105.0,2.0,113.0
VladimÃ­r Coufal,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Conor Coventry,[  0.25   1.25 160.5 ],0.0,166.0,0.0,166.0
Aaron Cresswell,[187.25  32.25  85.5 ],6.0,303.0,26.0,283.0
Flynn Downes,[ 4.25 17.25 55.5 ],0.0,81.0,0.0,81.0
Emerson Palmieri dos Santos,[ 70.25  21.25 150.5 ],2.0,244.0,5.0,241.0
Lukasz Fabianski,[237.25  19.25  48.5 ],0.0,309.0,0.0,309.0
Pablo Fornals Malla,[12.25 35.25 29.5 ],3.0,78.0,1.0,80.0
Danny Ings,[111.25  73.25 120.5 ],58.0,251.0,20.0,289.0
Ben Johnson,[ 30.25  39.25 156.5 ],2.0,228.0,0.0,230.0
Thilo Kehrer,[13.25 18.25 43.5 ],0.0,79.0,3.0,76.0
Divin Mubama,[ 0.25  8.25 53.5 ],0.0,66.0,0.0,66.0
Lucas Tolentino Coelho de Lima,[52.25  7.25 13.5 ],8.0,69.0,11.0,66.0
Gianluca Scamacca,[ 3.25 13.25 60.5 ],3.0,78.0,0.0,81.0
TomÃ¡Å¡ SouÄek,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Nikola VlaÅ¡iÄ,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Kurt Zouma,[175.25  34.25  94.5 ],14.0,294.0,4.0,304.0
Angelo Ogbonna,[161.25  12.25 131.5 ],8.0,301.0,1.0,308.0
Edson Ãlvarez VelÃ¡zquez,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Joseph Anang,[ 0.25  0.25 77.5 ],0.0,82.0,0.0,82.0
James Ward-Prowse,[231.25  42.25  30.5 ],53.0,255.0,36.0,272.0
Konstantinos Mavropanos,[ 19.25   7.25 141.5 ],1.0,171.0,0.0,172.0
Mohammed Kudus,[27.25  6.25  2.5 ],8.0,32.0,9.0,31.0
Lewis Orford,[ 0.25  0.25 19.5 ],0.0,24.0,0.0,24.0
Kaelan Casey,[ 0.25  1.25 34.5 ],0.0,40.0,0.0,40.0
Oliver Scarles,[ 0.25  0.25 18.5 ],0.0,23.0,0.0,23.0
Callum Marshall,[ 0.25  0.25 18.5 ],0.0,23.0,0.0,23.0
George Earthy,[ 0.25  3.25 10.5 ],1.0,17.0,0.0,18.0
Tommy Doyle,[11.25 16.25 94.5 ],0.0,126.0,0.0,126.0
Rayan AÃ¯t-Nouri,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Daniel Bentley,[ 5.25  2.25 49.5 ],0.0,61.0,0.0,61.0
BendegÃºz Bolla,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Hugo Bueno LÃ³pez,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Francisco Jorge TomÃ¡s Oliveira,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Luke Cundle,[  2.25   2.25 159.5 ],0.0,168.0,0.0,168.0
Craig Dawson,[188.25  12.25  62.5 ],15.0,252.0,6.0,261.0
FÃ¡bio Silva,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
GonÃ§alo Manuel Ganchinho Guedes,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Joe Hodge,[ 0.25  0.25 38.5 ],0.0,43.0,0.0,43.0
Ki-Jana Hoever,[  8.25  12.25 103.5 ],0.0,128.0,0.0,128.0
Hwang Hee-chan,[34.25 22.25 20.5 ],15.0,66.0,5.0,76.0
JoÃ£o Victor Gomes da Silva,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
